英単語,訳,発音記号（IPA）,解説
abolish,【動/他】廃止する,əˈbɑlɪʃ,"【動/他】〈制度・習慣・規則など〉'を'廃止する,やめる"
absorb,吸収する,əbˈzɔrb,"〈液体〉'を'『吸収する』,吸い込む / 〈光・音・熱・エネルギーなど〉'を'吸収する / 〈思想など〉'を'取り入れる / 〈国・町・村など〉'を'併合する;(…に)…'を'併合する《+『名』+『into』+『名』》 / 〈心・注意・時間〉'を'『すっかり奪う』"
absorption,吸収,əbˈzɔrpʃən,"吸収,併合 / (…に)夢中になること,専心すること《+『in』+『名』》"
accelerate,加速する；促進する,ækˈsɛləˌreɪt,"…‘の'速度を速める,加速する / 〈ある状態〉'を'早く起こさせる / 速くなる,速度を増す"
acceptance,受け入れ,ækˈsɛptəns,"〈U〉受け取ること,認めること,受け入れられていること;同意 / 〈U〉(手形の)引受け;〈C〉引受済み手形"
accessible,入手できる；行ける；気さくな,ækˈsɛsəbəl,"(またget-at-able)近づきやすい,入りやすい,達しうる / 《補語にのみ用いて》(感情などに)動かされやすい,(…の)影響を受けやすい《+『to』+『名』》"
accommodate,収容できる；適応する,əˈkɑməˌdeɪt,"(必要なものを)〈人〉‘に'『便宜をはかる』,用だてる《+『名』〈人〉+『with』+『名』》 / 〈人〉'を'『宿泊させる』,収容する / (…に)…'を'『適応させる』,順応させる《+『名』+『to』+『名』》 / 〈争いなど〉'を'調停する"
accomplishment,完成,əˈkɑmplɪʃmənt,"〈U〉完成,成就(じょうじゅ) / 〈C〉業績 / 《複数形で》教養,たしなみ,才芸"
accordance,一致,əˈkɔrdəns,"一致,調和,適合"
accordingly,それに応じて,əˈkɔrdɪŋli,"『従って』,それだから,それゆえ(therefore) / 『それに応じて』,適宜に"
accountability,"説明責任, 報告義務",əˈkaʊntəbɪlɪti,
accountable,【形】説明のつく；説明できる；（説明する）責任がある,əˈkaʊntəbəl,"【形】(物事が)説明のつく / 《補語にのみ用いて》(…について)説明できる,責任を持てる；（説明する）責任がある《+『for』+『名』》"
accountant,会計士,əˈkaʊntənt,"会計係,会計士,計理士"
accrual,【名】利子；（利益などの）発生,əˈkruəl,
accrue,（利益・権利などが）増加する；生じる,əˈkru,"《文》(自然の結果として)生じる,発生する;〈利子が〉つく"
accumulate,"【動/他】を蓄積する,ためる【自】蓄積する,たまる",əˈkjumjəˌleɪt,"…'を'『蓄積する』,ためる / 『たまる』,ふえる"
accumulation,"【名/U】蓄積,積み重ね；利殖【C】蓄積物,たまった物",əˌkjumjəˈleɪʃən,"〈U〉蓄積すること,ためること / 〈C〉蓄積した物"
accuracy,正確さ,ˈækjərəsi,"『正確さ』,精密"
accurately,正しく,ˈækjərətli,"正確に,精密に,綿密に"
accusation,告訴,ˌækjəˈzeɪʃən,"〈C〉〈U〉(…を)告発(告訴,非難)すること《+『of』+『名』》,告発(非難)されること / 〈C〉(…の)罪状;…罪《+『of』+『名』》"
acid,酸,ˈæsəd,"酸性の / 酸味のある,すっぱい(sour) / (言葉・態度などが)厳しい,しんらつな / 酸 / すっぱいもの / 《俗》=LSD"
acre,"エーカー； 土地, 所有地",ˈeɪkər,"『エーカー』(面積の単位;約4,047平方メートル) / 《複数形で》田畑,土地"
actively,積極的に,ˈæktɪvli,活発に;積極的に
activist,活動家,ˈæktəvəst,"(特に政治信条の)積極行動主義者,実践主義者"
adequately,"十分に,適切に;そこそこに",ˈædəkwətli,"適切に,十分に"
adhere,遵守する,ədˈhɪr,"〈物が〉(…に)『くっつく』,付着する,粘着する《+『to』+『名』》 / 〈人が〉(決心・主義などに)執着する,固守する《+『to』+『名』》"
administer,管理する；運営する；統治する,ədˈmɪnəstər,"…'を'『治める』,管理運営する / (…に対して)…'を'執行する,実行する(carry out)《+『名』+『to』+『名』》 / (…に)〈薬・手当て・援助など〉'を'与える《+『名』+『to』+『名』》 / (…に)〈一撃・非難・叱責など〉'を'与える,浴びせる《+『名』+『to』+『名』》 / (…に)寄与する,役立つ《+『to』+『名』》"
administrative,行政の,ədˈmɪnəˌstreɪtɪv,"『行政上の』;『管理の』,経営の"
administrator,管理者,ədˈmɪnəˌstreɪtər,"為政者,行政官 / (遺産としての不動産の)管理者"
admission,入場,ædˈmɪʃən,"〈U〉(場所・学校・会などへ)『入ることを許すこと』,入場(入学,入会)許可,(…へ)入る権利《+『to』+『名』》 / 〈U〉(…への)入場料,入学(入会)金《+『to』+『名』》 / 〈C〉(事実・誤りなどを)認めること,白状,容器"
adoption,"【名】養子縁組【U】(新しい方式などの)採用,採択; (外国語の)借用",əˈdɑpʃən,"(考え・方法・規則・法案などの)採用,採択《+『of』+『名』》 / 養子縁組"
adverse,"不都合な,不利な；有害な；敵対的な；反対の",ædˈvɜrs,"反対の,逆の / 逆方向の"
advertiser,広告主,ˈædvərˌtaɪzər,"広告者,広告主"
advisor,顧問,ædˈvaɪzər,"忠告者,助言者;顧問 / 《米》(大学の)新入生指導教師"
advisory,顧問,ædˈvaɪzəri,"勧告の,忠告の;諮問の"
affiliate,"系列組織；加入させる, 提携させる",əˈfɪliˌeɪt,"(規模がさらに大きいグループに)…'を'加入させる,合併する,提携させる《+『名』+『with』(『to』)+『名』》 / (…に)加入する《+『to』+『名』》;(…と)合併する,提携する《+『with』+『名』》 / 加入者,会員,《米》支部"
affordable,手頃な価格,əˈfɔrdəbəl,
afterward,その後,ˈæftərwərd,"『あとで』,以後,その後"
aggregate,"集合(体), 集団；総計；集成岩；総計の, 総合の; 集合した；総計でC〈数量〉となる；集まる",ˈægrɪgɪt,"…'を'集める / 総計(…に)なる《+『to』+『名』》 / 集まった,総計の / 集合体 / 〈U〉〈C〉(砂利など)骨材 / 《the ~》総計,総額"
agriculture,農業,ˈægrɪˌkʌlʧər,"『農業』,農学"
airport,空港,ˈɛrˌpɔrt,『空港』
